Quel chroniqueur TV se plaint sans cesse de la malbouffe ? | Jean-Pierre Coffe
Quel mammifère est le seul a posséder 4 genoux | L'éléphant
Les forces minoritaires du général Miltiade ont menées les Athéniens la victoire dans la bataille de | Marathon
Quel est le nom du capitaine du sous-marin le Nautilus dans le roman de Jules Verne. | Nemo
Que signifie «lied» ? | Chant
Quel drapeau national arbore un aigle et un serpent? | Le Mexique
A quels événements correspondent les dates 21 mars et 21 septembre ? | Les équinoxes
Comment désigne-t-on le changement de plumage chez un oiseau? | La mue
Dans quelle ville se trouve le Kremlin ? | Moscou
De qui sont ces mots historiques: «Quand cessera-t-on de se battre pour quelques arpents de neige?» | Voltaire
Où Jésus fit-il son premier miracle? | À Cana
Par qui fut découvert le Pôle Sud en 1912 ? | Roald Admunsen
La première guerre mondiale fut provoquée par l'assassinat de l'Archiduc .... | François Ferdinand
Quel est le fleuve qui passe à Rome? | Le Tibre
Quel général romain fit la conquête de la Gaulle? | Jules César
Quel nom donne-t-on à un jeune lièvre ? | Levraut
Quel territoire les États-Unis achetèrent-ils de la Russie en 1867? | L'Alaska
Quel nom porte la principale rue financière de New York? | Wall Street
Quel nom porte la principale rue financière de Montréal? | Saint-Jacques
Quelle planète possède le plus d'analogie avec la terre? | Mars
Qui découvrit le sens des caractères hiéroglyphes? | Jean-François Champollion
Qui perdit sa force après qu'on lui eût coupé les cheveux? | Samson
Qu'ont en commun les personnages suivants: Nabab, Crésus, et Midas? | La richesse
Quel est le nom du troisième fils d'Adam et Ève | Seth
De quel Dieu grec le mot morphine a-t-il été inspiré? (Dieu des songes, fils de la nuit et du sommeil) | Morphée
Dans qu'elle ville est né Marco Polo? | Venise
En juin 1885, un garçon de 9 ans a été le premier à survivre à la rage. Qui l'a traité? | Louis Pasteur
Qu'est-ce qui est considéré comme étant d'une grande ampleur à la Baie de Fundy? | La hauteur des marées
Au-dessus de quel océan Amélia Earhart est-elle disparue? | Le Pacifique
Quelle est la statue la plus célèbre de Bruxelles? (L’image d'un garçon répondant à l'appel de la nature) | Le Manneken Pis
Quel est le prénom de la femme créole, originaire de la Martinique, qui devint impératrice en épousant Napoléon Bonaparte? | Joséphine
En 1970, Quel était le prix moyen d'une baguette de pain en France ? | 57 centimes
Qui est Marguerite Yourcenar ? | Un écrivain
Qu'est ce qu'un polochon ? | Un traversin
De combien de pièces se compose l'ensemble d'un jeu d'échec ? | 32
Où John Fitzgerald Kennedy a t'il été assassiner ? | Dallas
Qu'est ce qu'une margelle ? | Le rebord d'un puit
Qu'est ce qui donne leur couleur aux diamants ? | Les impuretés
Nelson Mandela a reçu le prix Nobel de la Paix en ? | 1993
Littérature : Gogol est d'origine ? | Russe
Gauguin est mort en à Papeete ? | 1903
Quelle science étudie les inscriptions gravées sur les supports durables ? | L'épigraphie
Qui a donné son nom à la machine à décapiter, la guillotine ? (Nom complet) | Joseph Ignace Guillotin
Le code barres à usage commercial date de ? | 1970
Qui déchiffra en premier les hiéroglyphes ? | Champollion
Jeanne d'Arc fut brûlée vive à ? | Rouen
La langue officielle du Brésil est ? | Le Portugais
Le prénom de l'écrivain Sartre est ? | Jean-Paul
Le fedayin est un combattant ? | Palestinien
Jusqu'en 1796, Napoléon signe Buonaparte ? | Vrai
«La poésie c'est le plus joli surnom qu'on donne à la vie» est une citation de ? | Jacques Prévert
Qui présenta les Jackson Five au public ? | Diana Ross
Quelle est la grande ville sainte de l'Islam ? | La Mecque
De quelle origine vient le mot chocolat ? | Aztèque
A quel siècle ont été inventes les premières allumettes ? | XIXème
Qui était Edith Piaf ? | Une chanteuse
Qu'est-ce que le «petit gris» ? | Un écureuil
Quel chanteur surnomme-t-on le «Boss» ? | Bruce Springsteen
Qui a écrit la clé des songes dont s'inspirent la plupart des dictionnaires des rêves ? | Artemidore
A quand remonte la gratuité de l'école publique en France ? | 1882
Le racahout est une bouillie à base de cacao préparée dans quel pays ? | En Turquie
Quel groupe a appelé l'un de ses albums «London Calling» ? | Les Clash
Paul McCartney avait ans lors de sa première rencontre avec John Lennon | 13
L'anguille européenne peut vivre jusqu'à 80 ans ? | Faux
Gilles Rosier est l'ancien styliste de ? | Balenciaga
«Dreaming of me» est l'un des «singles» de quel groupe ? | Depeche Mode
Le diable de Tasmanie est un herbivore ? | Faux
Comment s'écrit «l'eau» en gaélique ? | Uisce
Dans la série «Drôle de dames», comment se prénomme le comptable de Charlie ? | Bosley
A quelle date est paru le film «Indépendance day» ? | En 1996
Qui est le réalisateur du film français «Le grand bleu» ? | Luc Besson
Quel est le véritable nom de Fernandel ? | Fernand Contandin
De quelle origine est l'actrice Nicole Kidman ? | Australienne
De quelle origine est l'acteur Anthony Hopkins ? | Galloise
Qui a écrit le scénario du film Français «Nikita» ? | Luc Besson
Qui est le partenaire masculin de Julia Roberts dans le film «Pretty woman» ? | Richard Gere
Qui présentait l'émission «Planète Bleue» sur Antenne 2 ? | Laurent Broomhead
Qui est l'acteur principal dans e film «Philadelphia» ? | Tom Hanks
Quelle série raconte l'histoire des Brigades Mobiles créées par Clemenceau. | Les brigades du Tigre
Daniel Auteuil joue dans «le placard» | Vrai
Le film : Rain Man avec Tom Cruise date de ? | 1988
Le scénario «Nikita» a été écrit par... | Luc Besson
Le film «Tootsie» date de 1989 ? | Faux
La série «Urgence» se déroule à Seattle ? | Faux
L'actrice française Isabelle Hupert a tourné dans le film «le juge et l'assassin» ? | Vrai
L'actrice Elsa Zylberstein a joué dans le film «les fantômes de Louba» ? | Vrai
Christophe Dechavanne présente «On a tout essayé» ? | Faux
Patrick Bruel joue le film «Le coup de Sirocco» ? | Vrai
Le film Philadelphia avec Tom hanks date de ? | 1993
L'actrice et mannequin Isabelle Rossellini est la fille de... | Ingrid Bergman
Le film français «Le dernier métro «est sorti en ? | 1980
Le film «Basic Instinct» réunit Michael Douglas et ...? | Sharon Stone
Fanny Ardant a joué dans le film pédale douce en ? | 1996
Wim Wenders a réalisé le film Paris Texas ? | Vrai
Le film «belle de jour» avec Catherine Deneuve date de 1967 ? | Vrai
Daniel Auteuil a joué le rôle de « » dans le film «Le placard» ? | François Pignon
Le partenaire masculin de Julia Roberts dans le film «Pretty woman» est Harisson Ford ? | Faux
Le personnage le plus filmé est Sherlock Holmes ? | Vrai
L'émission «Planète Bleue» sur Antenne 2 était présentée par ? | Laurent Broomhead
L'actrice Julianne Moore a joué dans le film «Hannibal» ? | Vrai
Le film «Les nuit fauves» date de 1992 ? | Vrai
Quel est le prénom du joueur de tennis Français Di Pasqual ? | Arnaud
Aux jeux Olympiques d'hiver d'Albertville, la France a remporté combien de médailles ? | 9
Quel est le poids maximal d'une balle de golf ? | 45.93 gr
En quelle discipline Steve Redgrave est quintuple médaillé d'or olympique ? | Aviron
De quelle couleur est l'écurie Ferrari de formule 1 ? | Rouge
De quelle origine est la joueuse de tennis Anna Kournikova ? | Russe
Qui est actuellement le sélectionneur de l'équipe de France de football ? | Roger Lemerre
Combien de place maximum peut contenir le Stade de France ? | 80 000
En quelle année le rugby est devenu «sport professionnel» ? | 1995
A quelle place la France termina t'elle lors de la coupe du monde de Football de 1982 ? | 4eme
La couleur de l'écurie de formule 1 Ferrari est le bleu ? | Faux
Pablo Contreras est un joueur de football Sud Américain ? | Vrai
En 1998, le premier du championnat des constructeurs de F1 est l'écurie Ferrari ? | Faux
La joueuse de tennis Anna Kournikova est d'origine tchèque ? | Faux
Le sélectionneur de l'équipe de France lors de la coupe du monde 1998 était Roger Lemerre ? | Faux
Les jeux Paralympiques pour handicapés physique et visuels datent de ? | 1960
Julien Escudé joue au club de de Rennes ? | Football
Ben Johnson a été disqualifié pour dopage en 1988 à ? (Nom de la ville) | Séoul
Régine Cavagnoud était une professionnelle | skieuse
Le stade de France peut contenir places ? | 80 000
Le rugby est devenu un sport professionnel en ? | 1995
Le karaté est un sport olympique ? | Faux
Le club de football de Monaco a été fondé en ? | 1924
Lors de la Coupe du Monde 1982, la France termina à quelle place ? | 4ème
Tiger Woods est un golfeur professionnel ? | Vrai
Le horse ball date de quel siècle ? | XVIIème
Le premier club de voile, un club américain date de ? | 1851
Le 26 mars 2001 : nouveau record du monde pour Ian Thorpe ? | Vrai
Le premier match de date de 1709 en Angleterre | cricket
L'équipe Telekom fait partie du Tour de France 2001 ? | Vrai
Quel est le surnom du joueur de tennis Kuerten ? | Guga
Avril 2001 : Nom du nouvel entraîneur de l'équipe de football de Marseille | Tomislav ivic
Nom de l'entraîneur du Bayern de Munich pour la saison 2000/2001 | ottmar Hitzfeld
Qui chante «La dame de Haute-Savoie» ? | Francis Cabrel
Quel est le nom de famille de la chanteuse Dido ? | Amstrong
Qui chante «Dreaming of me» | Depeche mode
Quel est le titre du premier succès du groupe Sain Suppa Crew ? | Angéla
Lennon et MC Cartney sont les auteurs de la chanson «yesterday» ? | Vrai
Qui chante «Je t'aime !!!!!!» | Lara Fabian
En quelle année est mort Claude François ? | 1978
Qui est le chanteur du groupe The Cure ? | Robert Smith
En quelle année a été inventé l'harmonica ? | 1821
Quel groupe a été sacré meilleur groupe pop des «MTV awards 2000» ? | All Saints
Qui chante «Couleur menthe à l'eau» ? | Eddy Mitchell
Le groupe Noir Désir participe au festival des Arènes de Nîmes en juillet 2001 ? | Vrai
Le single de Patrick Bruel «C'est la vie» est la suite de quel titre | Place des grands Hommes
Louis Amstrong a obtenu son premier disque d'or à ans ? | 64
Le premier succès du groupe Sain Suppa Crew a été «Monica» ? | Faux
EMI réédite l'album «Rio» du groupe «Duran Duran», sorti en ? | 1982
Ray Charles a écrit «Yesterday» ? | Faux
Françoise Hardy est découverte en 1966 par le producteur de l'émission «Salut les copains» ? | Faux
«Couleur menthe à l'eau» est l'une des chansons de ... ? | Eddy Mitchell
La chanson «le bal des lazes» est de... ? | Michel Polnareff
Claude François est mort en ? | 1978
Alizée a été révélée par quelle émission ? | Graines de stars
Eric Clapton est américain ? | Faux
«Elle & Louis» est le premier album solo de .... ? | Louis Bertignac
Qui a écrit la chanson : «What'd I say» ? | Ray Charles
Le premier groupe de JJ Goldman s'appelait «tai Phong» ? | Faux
Quelle est la monnaie officielle du Danemark ? | La couronne danoise
Ou est situé la mer de Marmara ? | En Turquie
Quelle est la capitale de la Grèce ? | Athènes
Ou est situé Sfax ? | Tunisie
De combien en pourcentage est le prélèvement obligatoires des impôts au Danemark ? | 60
Combien mange de viande le tigre en moyenne et en kg ? ( Kg) | 9
L'économie de la Suède est largement dépendante de sa ? | Forêt
Fort de France est la capitale de ? | La Martinique
La population de la Belgique est de millions d'habitants ? | 10,1
Il y a fuseaux horaires en Russie ? | 11
La fête nationale au Québec est le juin ? | 24
Le fleuve Colorado Rio se jette dans le Golfe de ? | Californie
La monnaie en Lettonie est ... ? | Le lats
Le Congo est une république ? | Vrai
L'analyse géopolitique a été créée en ? | 1889
La Jamaïque fait partie du Commonwealth ? | Vrai
Rouen est le ème port de France ? | 4
La langue officielle de la Géorgie est ... ? | Le Géorgien
Lima est la capitale de ? | Pérou
L'Arno est un fleuve qui traverse la ville italienne de ? | Florence
La Moldavie est devenue indépendante en ? | 1991
Où vit le watussi ? | Afrique de l'est
Combien y'a t-il environ de mules en Grande-Bretagne ? | 3 000
Qu'est ce qu'un anatife ? | Crustacé
Quelle est l'espérance de vie de l'Anguille européenne est inférieure est de ans maximum | 10
Le renne vit dans les régions polaires ? | Vrai
Le grizzly d'Amérique peut atteindre kg ? | 500
Quelle race désigne un petit cheval relativement léger, d'aspect robuste ? | Le comtois
Quand le papillon est prêt à sortir, il déchire la ? | Chrysalide
Les espèces appartenant à l'ordre des crocodiliens sont les reptiles les plus proches des dinosaures ? | Vrai
La salamandre tachetée est herbivore ? | Faux
L'ergot chez le chien équivaut au chez l'homme ? | Pouce
Un papillon traverse deux étapes dans sa vie ? | Faux
Le ragondin est végétarien ? | Vrai
La gestation d'un hamster est de 5 à 6 semaines ? | Faux
Le poil du Labrador est | court
Le shih Tzu est un art martial ? | Faux
La reinette verte a une durée de vie de ans ? | 22
Quel nom porte l'abeille géante ? | L'Apis Dorsata
Comment se prénomme le petit garçon de Céline Dion ? | René Charles
De quelle origine est le top modèle Liz Hurley ? | Anglaise
Toni Braxton s'est mariée à ans ? | 32
En quelle année se sont rencontrés Kurt Russel et Goldie Hawn ? | En 1984
Isabelle Adjani a soeurs ? | 3
Qui a présenté le Palmarès de Cannes le 20 mai 2001 ? | Charlotte Rampling
David, le fils de Romy Schneider, s'est tué en tentant d'escalader ... ? | une grille
Benjamin castaldi a une relation avec la présentatrice .... ? | Flavie Flament
L'actrice Sarah Michelle Gellar aime le Tae Kwon Do qu'elle a pratiqué pendant ans ? | 4
La présentatrice de «fan de», Séverine ferrer, s'est marié le 7 mars 2001 avec le père de son fils ? | Vrai
Kelly price est la choriste et amie de ? | Mariah Carey
Le chanteur Khaled est célibataire ? | Faux
Le 5 juin 2001, le chanteur Elton John vend aux enchères sa collection de chaussures ? | Faux
La chanteuse Sandy valentino s'est mariée en juin 2000 avec un athlète sportif ? | Faux
La mère d'Alain Delon s'appelle ? | Edith
Année 2001 : Amanda Lear va remplacer Benaïm dans la présentation de «Célébrités» sur TF1 ? | Vrai
Année 2001 : laetitia Casta a ans ? | 23
Brad Pitt devrait à la surprise générale ne pas jouer dans la célèbre série «Friends» ? | Faux
Sophie Marceau a écrit un roman intitulé ? | Menteuse
En partant du Soleil, quelle est la 6ème planète du système solaire ? | Saturne
Comment s'appelle le satellite de Pluton ? | Charon
Quelle planète n'a pas de satellite ? | Vénus
Quelle est la plus grosse planète du système solaire ? | Jupiter
Quelle est la planète la plus dense du système solaire ? | La Terre
Quelle planète possède le plus de satellites connus (18) ? | Saturne
Que trouve t-on entre Mars et Jupiter ? | la ceinture d'astéroïdes
De quelle planète l'imaginaire Vulcain était t-il sensé être le satellite ? | Mercure
Quelle est la plus petite planète du système solaire ? | Pluton
Quel arbre est aussi appelé «aube» quand il est blanc et «liard» quand il est noir ? | Peuplier
Quel est l'autre nom du noisetier ? | Coudrier
Quel arbre peut être «rouvre», «chevelu», «lombard», «sessile»... ? | Chêne
Qu'est ce que l'yeuse ? | Le chêne vert
#S | Anagramme
Qui était le Président de la République Française, prédécesseur de Jacques Chirac | François Mitterrand
Combien le chameau a-t-il de bosses ? | 2
Quel est l'emblème du drapeau canadien? | Une feuille d'érable
Quelles sont les couleurs du drapeau Belge? (Dans l'ordre ) | Noir Jaune Rouge
Quelles sont les couleurs du drapeau Irlandais? (Dans l'ordre ) | Vert Blanc Orange
Quelle est la couleur de la peau de Michael Jackson? | Grise
Combien d'étoiles figurent sur le drapeau Américain? | 52
Quel continent aurait été englouti 12000 ans av. J.C. ? | Mu
De quelle arme Guillaume Tell se servait-il ? | D'une arbalète
Dans quel pays se déroule le G.P. de Formule 1 de Zeltweg ? (En Finlande, En Suède, En Autriche) | En Autriche
Qui a institué la forme actuelle du drapeau français ? | Napoléon 1er
Par quel pays est bordé le lac Victoria | La Tanzanie
Combien y a t-il de joueurs sur le terrain en base-ball ? | 9
En quoi est fait le phare d'Alexandrie ? | En marbre blanc
Quel est le nom des habitants de Besançon ? | Les Bisontins
Où est née Nana Mouskouri ? | En Crète
Quel sport pratique Jacques Secrétin ? | Le ping pong
Qu'enseignait-on, au départ, à la Sorbonne ? | La théologie
Quelle est la longueur de la frontière chinoise ? (Nombre de Km) | 24 000
Qu'est ce qu'un kinkajou ? | Un mammifère
Comment appelle-t-on le nombre 10/100 ? | Le gogol
Lequel de ces vins est un Bordeaux ? (Le Chénas, Le Brouilly, Le Médoc) | Le Médoc
Depuis quand le bulletin météo est quotidien à la TV ? | 1958
A quelle profondeur a été creusé le tunnel sous la Manche ? ( Mètres) | 40
Combien de satellites connaît-on à Jupiter ? | 16
Qu'est-ce qu'un saïga ? | Une antilope
Un mile fait mètres ? | 1609
Combien y a t-il de «a» dans le mot anagramme ? | 3
Quel était le prénom du président des Etats-Unis, Grant ? | Ulysse
Quelle est la forme d'un terrain de football australien ? | Ovale
A quel niveau de la mer est situé la mer Morte? ( Mètres en-desous) | 390
Combien dure chaque mi-temps au basket ? ( Min) | 20
Comment appelle t-on la queue d'une feuille ? | Le pétiole
A quelle race appartient le chien Rintintin ? | Berger allemand
Qu'est-ce que le «Boxing Day» en Angleterre ? (Le jour des ) | étrennes
Combien y a-t-il de «i» dans indivisibilité ? | 6
A quel pays appartiennent les îles Galápagos ? | A l'Equateur
En combien de jours fut construit le mur de Berlin ? | 107
Où se situe la mer d'Iroise? (Elle n'existe pas, Au large de la France, En Finlande) | Au large de la France
Combien contient un demi de bière ? (1/4 de litre, 1/2 litre, 1 litre) | 1/4 de litre
Comment trouvez-vous ce jeu ? | Génial
Quelle est la superficie de la Norvège ? ( Km²) | 380 000
Qu'est-ce qu'un lavvo au lapon ? | Une tente
Quel pays est l'origine du premier mouton domestique ? | L'Irak
En quelle année ont eu lieu les 1er J.O. pour handicapés ? | En 1960
Combien y a-t-il de joueurs dans une équipe de cricket ? | 11
Qu'est-ce que la tonka | Un fruit
Combien d'oeufs pond une poule en moyenne par an ? | 240
Combien de côtés possède un heptagone ? | 7
Comment s'appelle le batteur des Rolling Stones ? | Charlie Watts
Qui a dessiné le célèbre logo des Rolling Stones ? | Andy Warhol
Quel est le titre du premier 45 tours des Stones ? | Come on
Qui chantait «I'm just a gigolo» ? | Louis Prima
Que sont devenus les Wilson Boys? | Les Beach boys
De quel instrument jouait Little Richard ? | Du piano
Qui fut le premier bassiste des Beatles ? | Stuart Sutcliffe
Qui est la Julia chantée par John Lennon ? | Sa mère
Ray Charles est devenu aveugle à ans ? | 8
Qui est surnommé «Mister Dynamite» ? | James Brown
Comment est décédé Marvin Gaye ? (Le jour de ses 40 ans) | Tué par son père
En quelle année est né Michael Jackson ? | En 1958
Avec qui Michael Jackson chante t-il «The girl is mine» ? | Paul MC Cartney
Quel est le vrai nom de Bob Dylan ? | Robert Zimmermann
A quelle religion s'est converti Cat Stevens en 1979 ? | A l'islam
Quel est le titre du premier album des Doors | The Doors
Dans quel cimetière est enterré Jim Morrison ? | Père Lachaise
Laquelle de ces chansons n'est pas des Kinks ? (Lola,Waterloo Sunset,In the Summertime) | In the Summertime
Deborah Harry est la chanteuse de ? | Blondie
Robert Smith est le chanteur de ? | Cure
Combien parle t-on de langues en Inde ? | 250
Combien de Kg consomme un Français, en moyenne, de bonbons par an? | 3
L'Italie entra-t-elle en guerre mois après le début de la Deuxième Guerre Mondiale | 9
Quel est le contraire d'autochtone ? | Allochtone
La population mondiale s'accroît par jour de individus | 215 000
En combien de points se joue une manche au badminton ? | 15
Combien de lacs y a-t-il en Finlande ? (Environ) | 60 000
A quelle date fut signée la «Magna Charta» ? | 1215
Quel est le singulier d' «errata» ? | Erratum
En 1987, une Bugatti Royale de 1931 a été vendue millions de francs | 55
Quelle est l'intruse parmi ces danses ? (Castagnole, Cachucha, Séguedille) | Castagnole
Qu'est-ce qu'une bélière ? | Une clochette
Lequel n'est pas un poisson ? (La belladone, La strychnine, Le poison) | Le poison
Qu'est-ce qu'une orphie ? | Un poisson
Où est situé le musée du Prado ? | A Madrid
Quel fut le 1er moyen de transport en commun en France | L'omnibus
Dans quel département se situe le centre géographique de la France ? | Le Cher
Quel est le contraire d'anglophobe ? | Anglophile
La couche d'ozone fait d'épaisseur | 3 mm
